# M_MTOT,R_RTOT,MATM_MTOT,RATM_RTOT,M_G,R_CM,REQ_CM,P_CGS,T_K,RHO_GCC,L_CGS,S_CGS,KROSS_CGS,GRADT,GRADAD,GRADRAD,TAUV,VSOUND_CGS,CP_CGS,X,Y,Z
 1.00000000000D+00, 1.00000000000D+00, 0.00000000000D+00, 0.00000000000D+00, 1.89861120000D+30, 6.98931932707D+09, 7.14913619650D+09, 1.00000000000D+06, 1.82105299380D+02, 1.53068561527D-04, 1.00000000000D+00, 5.21185639805D+08, 1.00000000000D+33, 3.18144846586D-01, 3.18130584331D-01, 6.32574246530D+33, 0.00000000000D+00, 9.79526830647D+04, 1.13000992435D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999995755D-01, 9.99987859535D-01,-4.24480250949D-09,-1.21404653062D-05, 1.89861119194D+30, 6.98923447348D+09, 7.14904677395D+09, 1.03204071518D+06, 1.83941790473D+02, 1.56391071999D-04, 1.00000000000D+00, 5.21185693772D+08, 1.00000000000D+33, 3.18174910372D-01, 3.18160999189D-01, 6.27158103902D+33, 0.00000000000D+00, 9.84470828977D+04, 1.13108769856D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999991375D-01, 9.99975597374D-01,-8.62510496358D-09,-2.44026259554D-05, 1.89861118362D+30, 6.98914876932D+09, 7.14895645525D+09, 1.06510589522D+06, 1.85796791831D+02, 1.59785315871D-04, 1.00000000000D+00, 5.21185789243D+08, 1.00000000000D+33, 3.18043004940D-01, 3.18029436765D-01, 6.21787222309D+33, 0.00000000000D+00, 9.89386262222D+04, 1.13218474766D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999986850D-01, 9.99963200359D-01,-1.31496600275D-08,-3.67996410463D-05, 1.89861117503D+30, 6.98906212263D+09, 7.14886514350D+09, 1.09926175169D+06, 1.87668976182D+02, 1.63258802692D-04, 1.00000000000D+00, 5.21185840742D+08, 1.00000000000D+33, 3.17225611352D-01, 3.17212378032D-01, 6.16499924431D+33, 0.00000000000D+00, 9.93821958157D+04, 1.13330107907D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999982174D-01, 9.99950660501D-01,-1.78258540151D-08,-4.93394986431D-05, 1.89861116616D+30, 6.98897447756D+09, 7.14877277987D+09, 1.13456418473D+06, 1.89557648152D+02, 1.66817419024D-04, 1.00000000000D+00, 5.21185929438D+08, 1.00000000000D+33, 3.16284144819D-01, 3.16271240663D-01, 6.11315875604D+33, 0.00000000000D+00, 9.98087533328D+04, 1.13480997430D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999977340D-01, 9.99937973098D-01,-2.26602477893D-08,-6.20269019463D-05, 1.89861115698D+30, 6.98888580125D+09, 7.14867932973D+09, 1.17106286483D+06, 1.91462509575D+02, 1.70465910269D-04, 1.00000000000D+00, 5.21185968168D+08, 1.00000000000D+33, 3.15303021528D-01, 3.15290439378D-01, 6.06243471346D+33, 0.00000000000D+00, 1.00225311132D+05, 1.13648070421D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999972342D-01, 9.99925138580D-01,-2.76577011293D-08,-7.48614200242D-05, 1.89861114749D+30, 6.98879609670D+09, 7.14858479625D+09, 1.20879463228D+06, 1.93383902390D+02, 1.74206150315D-04, 1.00000000000D+00, 5.21185574251D+08, 1.00000000000D+33, 3.14972344845D-01, 3.14960076028D-01, 6.01274933959D+33, 0.00000000000D+00, 1.00689545219D+05, 1.13802135292D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999967186D-01, 9.99912179694D-01,-3.28141417372D-08,-8.78203063627D-05, 1.89861113770D+30, 6.98870552291D+09, 7.14848934699D+09, 1.24772889566D+06, 1.95325003851D+02, 1.78026969659D-04, 1.00000000000D+00, 5.21185630804D+08, 1.00000000000D+33, 3.15106943502D-01, 3.15094980527D-01, 5.96335583651D+33, 0.00000000000D+00, 1.01197948381D+05, 1.13954815641D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999961865D-01, 9.99899093318D-01,-3.81353670864D-08,-1.00906682142D-04, 1.89861112760D+30, 6.98861405805D+09, 7.14839295897D+09, 1.28790958368D+06, 1.97285774728D+02, 1.81930616261D-04, 1.00000000000D+00, 5.21185690351D+08, 1.00000000000D+33, 3.15142617725D-01, 3.15130953690D-01, 5.91431087605D+33, 0.00000000000D+00, 1.01707452099D+05, 1.14112749979D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999956372D-01, 9.99885875655D-01,-4.36276851312D-08,-1.14124345118D-04, 1.89861111717D+30, 6.98852167558D+09, 7.14829560422D+09, 1.32938448524D+06, 1.99266092644D+02, 1.85919896248D-04, 1.00000000000D+00, 5.21185752930D+08, 1.00000000000D+33, 3.15053181602D-01, 3.15041809968D-01, 5.86568651662D+33, 0.00000000000D+00, 1.02214535994D+05, 1.14280862711D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
